"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.277,0.395,0.667,0.112,0.216,0.412,0.774,0.2,0.37,0.138091106406735,0.100143774484715
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.341,0.479,0.85,0.109,0.347,0.459,0.936,0.193,0.595,0.167789327688082,0.117192885125388
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.409,0.582,0.94,0.11,0.485,0.508,0.983,0.189,0.777,0.198287548969429,0.135041995766061
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.218,0.314,0.216,0.19,0.05,0.484,0.214,0.392,0.05,0.0830946638440411,0.0830946638440411
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.277,0.411,0.392,0.196,0.068,0.536,0.446,0.384,0.085,0.111192885125388,0.0985437744847144
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.342,0.485,0.607,0.186,0.12,0.593,0.715,0.382,0.2,0.140091106406735,0.114792885125388
"94",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.41,0.579,0.799,0.184,0.209,0.637,0.895,0.368,0.379,0.169789327688082,0.131841995766062
"95",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.48,0.691,0.933,0.188,0.338,0.688,0.976,0.36,0.585,0.200287548969429,0.149691106406735
"96",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.1,0.9,0.55,0.74,0.973,0.184,0.489,0.737,0.995,0.364,0.781,0.231585770250776,0.168340217047409
"97",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.342,0.497,0.325,0.307,0.05,0.713,0.332,0.603,0.05,0.113992885125388,0.113992885125388
"98",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.411,0.581,0.527,0.296,0.067,0.754,0.587,0.595,0.085,0.142891106406735,0.130241995766061
"99",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.481,0.661,0.752,0.288,0.121,0.798,0.825,0.594,0.2,0.172589327688082,0.147291106406735
