"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.952,0.956,0.437,0.464,0.952,0.956,0.437,0.464,0.952,0.956,0.437,0.464,0.88,0.89,0.213,0.251,0.30298221281347,0.239736659610103
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.066,0.104,0.05,0.087,0.066,0.104,0.05,0.087,0.066,0.104,0.05,0.087,0.07,0.089,0.05,0.069,0.0256982212813468,0.0130491106406734
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.118,0.275,0.05,0.204,0.118,0.275,0.05,0.204,0.118,0.275,0.05,0.204,0.131,0.211,0.05,0.127,0.052196442562694,0.0268982212813471
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.211,0.535,0.05,0.394,0.211,0.535,0.05,0.394,0.211,0.535,0.05,0.394,0.237,0.409,0.05,0.225,0.079494663844041,0.0415473319220205
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.345,0.781,0.05,0.614,0.345,0.781,0.05,0.614,0.345,0.781,0.05,0.614,0.384,0.634,0.05,0.356,0.107592885125388,0.0569964425626939
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.505,0.929,0.05,0.8,0.505,0.929,0.05,0.8,0.505,0.929,0.05,0.8,0.55,0.819,0.05,0.506,0.136491106406735,0.0732455532033676
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.108,0.067,0.09,0.05,0.108,0.067,0.09,0.05,0.108,0.067,0.09,0.05,0.084,0.067,0.067,0.05,0.026098221281347,0.026098221281347
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.189,0.186,0.089,0.087,0.189,0.186,0.089,0.087,0.189,0.186,0.089,0.087,0.156,0.159,0.066,0.069,0.0525964425626939,0.0399473319220205
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.307,0.415,0.088,0.202,0.307,0.415,0.088,0.201,0.307,0.415,0.088,0.201,0.272,0.332,0.066,0.125,0.079894663844041,0.0545964425626941
