"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.07,0,0.1,0.9,0.101,0.105,0.06,0.07,0.101,0.104,0.06,0.07,0.101,0.104,0.06,0.07,0.116,0.11,0.06,0.07,0.184938438328756,0.140666551086398
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.107,0.114,0.06,0.08,0.107,0.114,0.06,0.08,0.107,0.114,0.06,0.08,0.124,0.12,0.06,0.08,0.200287548969429,0.149691106406735
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.09,0,0.1,0.9,0.113,0.124,0.06,0.09,0.113,0.124,0.06,0.09,0.113,0.124,0.06,0.09,0.132,0.13,0.06,0.09,0.215836659610102,0.158915661727072
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.1,0.9,0.12,0.134,0.06,0.1,0.12,0.134,0.06,0.1,0.12,0.134,0.06,0.1,0.141,0.14,0.06,0.1,0.231585770250776,0.168340217047409
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0,0,0.1,0.9,0.07,0.04,0.07,0,0.07,0.04,0.07,0,0.07,0.04,0.07,0,0.07,0.047,0.07,0,0.0983437744847144,0.0983437744847144
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.01,0,0.1,0.9,0.076,0.05,0.07,0.01,0.076,0.05,0.07,0.01,0.076,0.05,0.07,0.01,0.078,0.057,0.07,0.01,0.112492885125388,0.106168329805051
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.02,0,0.1,0.9,0.081,0.06,0.07,0.02,0.081,0.06,0.07,0.02,0.081,0.06,0.07,0.02,0.086,0.067,0.07,0.02,0.126841995766062,0.114192885125388
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.03,0,0.1,0.9,0.087,0.071,0.07,0.03,0.087,0.07,0.07,0.03,0.087,0.07,0.07,0.03,0.094,0.077,0.07,0.03,0.141391106406735,0.122417440445725
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.04,0,0.1,0.9,0.093,0.08,0.07,0.04,0.093,0.08,0.07,0.04,0.093,0.08,0.07,0.04,0.102,0.087,0.07,0.04,0.156140217047409,0.130841995766062
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.05,0,0.1,0.9,0.099,0.09,0.07,0.05,0.099,0.09,0.07,0.05,0.099,0.09,0.07,0.05,0.11,0.097,0.07,0.05,0.171089327688082,0.139466551086398
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.06,0,0.1,0.9,0.105,0.1,0.07,0.06,0.105,0.1,0.07,0.06,0.105,0.1,0.07,0.06,0.118,0.107,0.07,0.06,0.186238438328756,0.148291106406735
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.07,0,0.1,0.9,0.111,0.11,0.07,0.07,0.111,0.11,0.07,0.07,0.111,0.11,0.07,0.07,0.126,0.117,0.07,0.07,0.201587548969429,0.157315661727072
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.08,0,0.1,0.9,0.117,0.121,0.07,0.08,0.117,0.12,0.07,0.08,0.117,0.12,0.07,0.08,0.134,0.127,0.07,0.08,0.217136659610103,0.166540217047408
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.09,0,0.1,0.9,0.124,0.131,0.07,0.09,0.124,0.13,0.07,0.09,0.124,0.13,0.07,0.09,0.143,0.137,0.07,0.09,0.232885770250776,0.175964772367745
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.1,0,0.1,0.9,0.13,0.14,0.07,0.1,0.13,0.14,0.07,0.1,0.13,0.14,0.07,0.1,0.151,0.147,0.07,0.1,0.24883488089145,0.185589327688082
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.08,0.046,0.08,0,0.08,0.046,0.08,0,0.08,0.046,0.08,0,0.08,0.053,0.08,0,0.113992885125388,0.113992885125388
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.01,0,0.1,0.9,0.086,0.056,0.08,0.01,0.086,0.056,0.08,0.01,0.086,0.056,0.08,0.01,0.088,0.063,0.08,0.01,0.128341995766062,0.122017440445725
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.092,0.066,0.08,0.02,0.091,0.066,0.08,0.02,0.091,0.066,0.08,0.02,0.096,0.073,0.08,0.02,0.142891106406735,0.130241995766061
